"DELIVERY_STATUS","TOTAL_ORDERS","AVG_REVIEW_SCORE","FIVE_STAR","FOUR_STAR","THREE_STAR","TWO_STAR","ONE_STAR"
"On Time",78807,4.31,53597,17555,6790,2143,5227
"Late",6769,2.59,1666,918,854,555,3351
